trip,block_id
2TK1F8Fu0,8-35
2TK1F8G40,8-14
2TK1F8GC0,8-38
2TK1F8GK0,8-9
2TK1F8GT0,8-40
2TK1F8Gb0,8-10
2TK1F8Gk0,6-16
2TK1F8Gs0,8-2
2TK1F8H30,8-46
2TK1F8HB0,8-24
2TK1F8HJ0,172-2
2TK1F8HR0,8-28
2TK1F8HZ0,1-13
2TK1F8Hg0,8-30
2TK1F8Ho0,8-48
2TK1F8Hv0,8-15
2TK1F8I50,9-28
2TK1F8ID0,8-16
2TK1F8IL0,8-40
2TK1F8IT0,8-29
2TK1F8Ik0,8-14
2TK1F8J50,8-43
2TK1F8JO0,8-2
2TK1F8Ji0,8-24
2TK1F8K40,8-30
2TK1F8KN0,8-15
2TK1F8Kh0,8-29
2TK1F8L30,8-14
2TK1F8LS0,8-43
2TK1F8Lr0,8-24
2TK1F8MI0,8-37
2TK1F8Mg0,28-10
2TK1F8N70,1-74
2TK1F8NW0,8-43
2TK1F8Nv0,8-39
2TK1F8OM0,8-37
2TK1F8Ol0,1-75
2TK1F8PC0,74-8
2TK1F8Pb0,8-43
2TK2D19640,19-2
2TK2D196Y0,19-1
2TK2D19750,19-2
2TK2D197Z0,19-1
2TK2D19860,19-2
2TK2D198a0,19-1
2TK2D19970,19-2
2TK2D199T0,19-3
2TK2D199p0,19-1
2TK2D19AC0,19-2
2TK2D19AY0,19-3
2TK2D19Au0,19-1
2TK2D19BI0,19-2
2TK2D19Be0,19-3
2TK2D19C30,19-1
2TK2D19CP0,19-2
2TK2D19Cl0,19-3
2TK2D19DA0,19-1
2TK2D19DW0,19-2
2TK2D19Ds0,19-3
2TK2D19EH0,19-1
2TK2D19Ed0,19-2
2TK2D19F10,19-3
2TK2D19FO0,19-1
2TK2D19Fk0,19-2
2TK2D19G80,19-3
2TK2D19GV0,19-1
2TK2D19Gr0,19-2
2TK2D19HF0,19-3
2TK2D19Hc0,19-1
2TK2D19I00,19-2
2TK2D19IM0,19-3
2TK2D19Ii0,19-1
2TK2D19J50,19-2
2TK2D19JQ0,19-3
2TK2D19Jm0,19-1
2TK2D19KK0,19-2
2TK2D19Kq0,19-1
2TK2D19LN0,19-2
2TK2D19Ls0,19-1
2TK2D19MP0,19-2
2TK2D19Mt0,19-1
2TK2D19NQ0,19-2
2TK2D19Nv0,19-1
2TK2F5620,5-2
2TK2F56U0,5-1
2TK2F56v0,5-3
2TK2F57P0,5-2
2TK2F57r0,5-1
2TK2F58K0,5-3
2TK2F58l0,5-2
2TK2F5970,5-4
2TK2F59P0,5-1
2TK2F59g0,5-5
2TK2F5A00,5-3
2TK2F5AH0,5-2
2TK2F5AY0,5-4
2TK2F5Aq0,5-1
2TK2F5BA0,5-5
2TK2F5BS0,5-3
2TK2F5Bk0,5-2
2TK2F5C40,5-4
2TK2F5CM0,5-1
2TK2F5Ce0,5-5
2TK2F5Cw0,5-3
2TK2F5DG0,5-2
2TK2F5DY0,5-4
2TK2F5Dq0,5-1
2TK2F5EA0,5-5
2TK2F5ES0,5-3
2TK2F5Ek0,5-2
2TK2F5F40,5-4
2TK2F5FM0,5-1
2TK2F5Fe0,5-5
2TK2F5Fw0,5-3
2TK2F5GG0,5-2
2TK2F5GY0,5-4
2TK2F5Gq0,5-1
2TK2F5HA0,5-5
2TK2F5HS0,5-3
2TK2F5Hk0,5-2
2TK2F5I40,5-4
2TK2F5IM0,5-1
2TK2F5Ie0,5-5
2TK2F5Iv0,5-3
2TK2F5JF0,5-2
2TK2F5JX0,5-4
2TK2F5Jp0,5-1
2TK2F5K90,5-5
2TK2F5KS0,5-3
2TK2F5Kv0,5-4
2TK2F5LQ0,5-1
2TK2F5Ls0,5-3
2TK2F5MM0,5-4
2TK2F5Mn0,5-1
2TK2F5NH0,5-3
2TK2F5Nj0,5-4
2TK2F5OC0,5-1
2TK2F5Oe0,5-3
2TK2F5P80,5-4
2TK2F5Pc0,5-1
2TK2F85h0,8-4
2TK2F8690,8-1
2TK2F86Z0,8-3
2TK2F8710,8-2
2TK2F87S0,8-5
2TK2F87s0,8-4
2TK2F88L0,8-1
2TK2F88m0,8-3
2TK2F8930,8-6
2TK2F89H0,8-2
2TK2F89V0,8-8
2TK2F89i0,8-5
2TK2F89w0,8-9
2TK2F8AC0,8-4
2TK2F8AR0,8-7
2TK2F8Af0,8-1
2TK2F8Au0,8-6
2TK2F8BA0,8-3
2TK2F8BP0,8-8
2TK2F8Bd0,8-2
2TK2F8Bs0,8-9
2TK2F8C80,8-5
2TK2F8CN0,8-7
2TK2F8Cc0,8-4
2TK2F8Cr0,8-6
2TK2F8D70,8-1
2TK2F8DM0,8-8
2TK2F8Db0,8-3
2TK2F8Dp0,8-9
2TK2F8E60,8-2
2TK2F8EL0,8-7
2TK2F8Ea0,8-5
2TK2F8Ep0,8-6
2TK2F8F60,8-4
2TK2F8FL0,8-8
2TK2F8FZ0,8-1
2TK2F8Fo0,8-9
2TK2F8G50,8-3
2TK2F8GK0,8-7
2TK2F8GY0,8-2
2TK2F8Gn0,8-6
2TK2F8H40,8-5
2TK2F8HJ0,8-8
2TK2F8HY0,8-4
2TK2F8Hn0,8-9
2TK2F8I30,8-1
2TK2F8II0,8-7
2TK2F8IW0,8-3
2TK2F8Ik0,8-6
2TK2F8J00,8-2
2TK2F8JE0,8-8
2TK2F8JS0,8-5
2TK2F8Jg0,8-9
2TK2F8Ju0,8-4
2TK2F8KA0,8-7
2TK2F8KO0,8-1
2TK2F8Kb0,8-6
2TK2F8Ko0,8-3
2TK2F8L40,8-8
2TK2F8LH0,8-2
2TK2F8Li0,8-5
2TK2F8MA0,8-4
2TK2F8Ma0,8-1
2TK2F8N30,8-3
2TK2F8NT0,8-2
2TK2F8Nt0,8-5
2TK2F8OL0,8-4
2TK2F8Ok0,8-1
2TK2F8PB0,8-3
2TK2F8Pa0,8-2
2TK3D196Z0,19-2
2TK3D19750,19-1
2TK3D197Z0,19-2
2TK3D19850,19-1
2TK3D198a0,19-2
2TK3D19970,19-1
2TK3D199e0,19-2
2TK3D19AC0,19-1
2TK3D19Aj0,19-2
2TK3D19BI0,19-1
2TK3D19Bp0,19-2
2TK3D19CP0,19-1
2TK3D19Cw0,19-2
2TK3D19DW0,19-1
2TK3D19E50,19-2
2TK3D19Ed0,19-1
2TK3D19FC0,19-2
2TK3D19Fk0,19-1
2TK3D19GJ0,19-2
2TK3D19Gr0,19-1
2TK3D19HQ0,19-2
2TK3D19I00,19-1
2TK3D19IX0,19-2
2TK3D19J50,19-1
2TK3D19Jb0,19-2
2TK3D19K90,19-1
2TK3D19Kf0,19-2
2TK3D19LC0,19-1
2TK3D19Lh0,19-2
2TK3D19ME0,19-1
2TK3F56V0,5-1
2TK3F56w0,5-2
2TK3F57Q0,5-3
2TK3F57s0,5-1
2TK3F58M0,5-2
2TK3F58o0,5-3
2TK3F59I0,5-1
2TK3F59k0,5-2
2TK3F5A90,5-4
2TK3F5AV0,5-3
2TK3F5Ar0,5-1
2TK3F5BF0,5-2
2TK3F5Bc0,5-4
2TK3F5C10,5-3
2TK3F5CN0,5-1
2TK3F5Cj0,5-2
2TK3F5D80,5-4
2TK3F5DV0,5-3
2TK3F5Dr0,5-1
2TK3F5EF0,5-2
2TK3F5Ec0,5-4
2TK3F5F10,5-3
2TK3F5FN0,5-1
2TK3F5Fj0,5-2
2TK3F5G80,5-4
2TK3F5GV0,5-3
2TK3F5Gr0,5-1
2TK3F5HF0,5-2
2TK3F5Hc0,5-4
2TK3F5I10,5-3
2TK3F5IN0,5-1
2TK3F5Ij0,5-2
